Column1	Column2	Column3	Column4	Column5	Column6		
Quem é conhecido como o pai da teoria da relatividade?	Isaac Newton	Albert Einstein	Niels Bohr	Max Planck	2		54
Qual é a velocidade da luz no vácuo?	299.792 km/s	3.000 km/s	186.282 milhas por segundo	1.080 milhões de km/h	1		36
O que é um quark?	Uma partícula subatómica.	Uma onda de luz.	Uma unidade de carga elétrica.	Um tipo de força fundamental.	1		17
O que é um buraco negro?	Um tipo de estrela com uma densidade extremamente alta.	Um buraco na camada de ozono da Terra.	Um objeto celestial com uma gravidade tão forte que nada pode escapar dele, nem mesmo a luz.	Um espaço vazio no universo.	3		24
O que é um átomo?	A menor unidade de um elemento químico que mantém as propriedades desse elemento.	Uma partícula subatómica carregada positivamente.	Uma partícula subatómica carregada negativamente.	A menor unidade de uma molécula que mantém as propriedades dessa molécula.	1		17
O que é um electrão?	Uma partícula subatómica carregada negativamente.	Uma partícula subatómica carregada positivamente.	A menor unidade de um elemento químico que mantém as propriedades desse elemento.	Uma onda eletromagnética.	1		20
O que é um protão?	Uma partícula subatómica carregada positivamente.	Uma partícula subatómica carregada negativamente.	A menor unidade de um elemento químico que mantém as propriedades desse elemento.	Uma onda eletromagnética.	1		18
O que é um neutrão?	Uma partícula subatómica sem carga elétrica, encontrada no núcleo do átomo.	Uma partícula subatómica carregada positivamente, encontrada no núcleo do átomo.	Uma partícula subatómica carregada negativamente, encontrada no núcleo do átomo.	Uma partícula subatómica carregada negativamente, encontrada fora do núcleo do átomo.	1		19
O que é um leptão?	Uma partícula subatómica fundamental que não sofre interações fortes.	Uma partícula subatómica carregada positivamente.	Uma partícula subatómica carregada negativamente.	Uma partícula subatómica sem carga elétrica.	1		18
O que é um bosão?	Uma partícula subatómica que carrega uma força fundamental.	Uma partícula subatómica carregada positivamente.	Uma partícula subatómica carregada negativamente.	Uma partícula subatómica sem carga elétrica.	1		17
O que é um mesão?	Uma partícula subatómica composta por um quark e um antiquark.	Uma partícula subatómica carregada positivamente.	Uma partícula subatómica carregada negativamente.	Uma partícula subatómica sem carga elétrica.	1		17
O que é um gluão?	Uma partícula subatómica que medeia a interação forte entre quarks.	Uma partícula subatómica carregada positivamente.	Uma partícula subatómica carregada negativamente.	Uma partícula subatómica sem carga elétrica.	1		17
O que é um fotão?	Uma partícula de luz.	Uma partícula de som.	Uma partícula de matéria.	Uma partícula de tempo.	1		17
Qual é a unidade de medida de força no Sistema Internacional?	Newton	Joule	Watt	Kelvin	1		61
O que representa a equação E=mc^2?	Lei da Gravitação Universal	Segunda Lei de Newton	A energia de uma partícula na teoria da Relatividade de Einstein	Lei da Conservação da Energia	3		34
O que é a refração da luz?	A reflexão da luz em uma superfície espelhada	A mudança de direção da luz ao passar de um meio para outro	A dispersão da luz em um prisma	A absorção da luz por um objeto	2		26
Qual é a velocidade da luz no vácuo?	300,000 km/s	150,000 m/s	1,000,000 km/s	3,000,000,000 m/s	1		36
O que é um isótopo?	Um tipo de partícula subatómica	Um elemento com o mesmo número de protões, mas diferente número de neotrões	Uma partícula carregada positivamente	Um tipo de átomo	2		19
Qual é a unidade de medida de energia no Sistema Internacional?	Joule	Watt	Newton	Kelvin	1		63
Qual é o processo pelo qual o núcleo de um átomo se divide em dois núcleos menores, liberando uma grande quantidade de energia?	Fusão nuclear	Radioatividade	Fissão nuclear	Decaimento radioativo	3		127
Qual é a unidade de medida de frequência das ondas sonoras?	Watt	Decibel	Hertz	Newton	3		59
Qual é a aceleração devido à gravidade na superfície da Terra?	9,8 m/s^2	1,0 m/s^2	5,0 m/s^2	15,0 m/s^2	1		62
Qual é a unidade de medida de pressão no Sistema Internacional?	Pascal	Newton	Kilograma	Joule	1		63
Um circuito elétrico com duas resistências em que a corrente elétrica só pode seguir um caminho chama-se?	Circuito paralelo	Circuito em série	Circuito de curto-circuito	Circuito aberto	2		105
O que é a frequência de uma onda?	A distância entre duas cristas sucessivas	O número de cristas por segundo a dividir pela sua distância	A distância entre o pico e o vale de uma onda	O número de oscilações por segundo	4		33
Qual é o nome da força que age sobre um objeto em direção ao centro da Terra?	Força centrífuga	Força de atrito	Força normal	Gravidade	4		77
O que é a mecânica quântica?	Uma teoria que descreve o comportamento das partículas subatómicas	Uma teoria que descreve o movimento dos planetas	Uma teoria que descreve o comportamento das estrelas	Uma teoria que descreve o comportamento dos fluidos	1		28
Qual é o número atómico do hidrogénio?	1	2	3	4	1		38
Qual é o símbolo químico do ouro?	Ag	Au	Fe	O	2		33
Qual é a fórmula química da água?	H2O	CO2	O2	NaCl	1		33
Qual é a fórmula química do dióxido de carbono?	CO2	H2O	O2	NaCl	1		47
Qual é a fórmula química do sal de cozinha?	NaCl	H2O	CO2	Fe2O3	1		43
Qual é o símbolo químico do ferro?	Fe	Au	Ag	O	1		34
Quantos elementos químicos existem na tabela periódica?	118	120	100	90	1		55
Qual é o símbolo químico da prata?	Ag	Au	Fe	O	1		34
Qual é o número atómico do hélio?	1	2	3	4	2		33
Qual é a fórmula química do ácido sulfúrico?	H2SO4	HCl	HNO3	CH4	1		44
Qual é a fórmula química do metano?	CH4	CO2	H2O	NaCl	1		35
Qual é a fórmula química do ácido clorídrico?	HCl	HNO3	H2SO4	CH4	1		45
Qual é a fórmula química do ácido nítrico?	HNO3	HCl	H2SO4	CH4	1		42
Quantos electrões tem um átomo de hidrogénio neutro?	1	0	2	3	1		52
Quantos protões tem um átomo de hidrogénio neutro?	1	0	2	3	1		50
Quantos neutrões tem um átomo de hidrogénio neutro?	0	1	2	3	1		51
Quantos electrões tem um átomo de hélio neutro?	2	0	1	3	1		47
Quantos protões tem um átomo de hélio neutro?	2	0	1	3	1		45
Quantos neutrões tem um átomo de hélio neutro?	2	0	1	3	1		46
Quantos electrões tem um ião de hidrogénio (H+)?	0	1	2	3	1		48
Qual é o elemento mais pesado que pode ser formado por fusão nuclear em uma estrela?	Ferro	Hidrogénio	Hélio	Carbono	1		84
Qual é o nome do processo de formação de um ião positivo?	Ionização	Neutralização	Redução	Oxidação	1		57
Qual é o nome do processo de ganho de electrões?	Redução	Oxidação	Ionização	Neutralização	1		48
Qual é o nome do processo de perda de electrões?	Oxidação	Redução	Ionização	Neutralização	1		48
Qual é o nome do processo de formação de um ião negativo?	Redução	Oxidação	Ionização	Neutralização	1		57
Qual é a unidade básica da concentração molar?	Mol/L	g/L	kg/m3	N/m2	1		46
Qual é a unidade básica da pressão?	Pascal (Pa)	Newton (N)	Joule (J)	Watt (W)	1		35
Qual é a unidade básica da energia?	Joule (J)	Newton (N)	Pascal (Pa)	Watt (W)	1		35
Qual é a unidade básica da força?	Newton (N)	Joule (J)	Pascal (Pa)	Watt (W)	1		33
Qual é a unidade básica da potência?	Watt (W)	Newton (N)	Joule (J)	Pascal (Pa)	1		36
Qual é a unidade básica da carga elétrica?	Coulomb (C)	Ampere (A)	Volt (V)	Ohm (Ω)	1		42
Qual é a unidade básica da corrente elétrica?	Ampere (A)	Coulomb (C)	Volt (V)	Ohm (Ω)	1		45
Qual é a unidade básica da resistência elétrica?	Ohm (Ω)	Ampere (A)	Coulomb (C)	Volt (V)	1		48
Qual é a unidade básica da tensão elétrica?	Volt (V)	Ampere (A)	Coulomb (C)	Ohm (Ω)	1		43
O que significa o número atómico de um elemento químico na tabela periódica?	O nº de protões no núcleo do átomo.	O nº de neutrões no núcleo do átomo.	O nº total de protões e neutrões no núcleo do átomo.	O nº total de protões e electrões no átomo.	1		76
O que significa o número de massa de um elemento químico na tabela periódica?	O número total de protões e neutrões no núcleo do átomo.	O número total de protões e electrões no átomo.	O número de protões no núcleo do átomo.	O número de neutrões no núcleo do átomo.	1		77
Qual é o elemento químico mais abundante na crosta terrestre?	Oxigénio	Silício	Ferro	Alumínio	1		61
O que é um composto químico?	Uma substância pura que não pode ser decomposta em outras substâncias por processos químicos	Uma mistura de elementos químicos	Um átomo	Um protão	1		28
O que é um ácido?	Uma substância que aumenta a concentração de iões hidroxila (OH-) em solução	Uma substância que aumenta a concentração de iões hidrogénio (H+) em solução	Uma substância neutra	Um tipo de gás nobre	2		17
Qual é o símbolo químico do hidrogénio?	Hg	H	He	O	2		39
O que é um pH neutro?	Um pH igual a 0	Um pH igual a 7	Um pH igual a 14	Um pH igual a 1	2		21
Qual é o processo pelo qual um sólido se transforma diretamente em vapor sem passar pelo estado líquido?	Sublimação	Fusão	Solidificação	Evaporação	1		104
Qual é a fórmula química da água?	H2O2	H3O	CO2	H2O	4		33
Qual é o elemento químico mais leve?	Hidrogénio	Oxigénio	Carbono	Ferro	1		36
O que é um isómero?	Duas substâncias que têm a mesma fórmula química, mas estruturas diferentes	Duas substâncias que têm fórmulas químicas diferentes, mas a mesma estrutura	Um elemento químico	Um composto químico	1		19
Qual é a fórmula química do dióxido de carbono?	CO2	CO	O2	H2O	1		47
Qual é a principal função dos catalisadores em reações químicas?	Aumentar a velocidade das reações químicas	Tornar as reações químicas mais seguras	Diminuir a temperatura das reações químicas	Neutralizar ácidos	1		64
O que é uma reação de oxidação?	Uma reação em que um composto é reduzido e ganha electrões	Uma reação em que um composto perde electrões	Uma reação que não envolve oxigénio	Uma reação de neutralização	2		31
Qual é o símbolo químico do oxigénio?	O2	O	H2O	CO2	2		37
O que é um composto iónico?	Um composto formado por átomos de metais	Um composto formado por átomos de não metais	Um composto formado pela transferência de electrões entre átomos, resultando em iões positivos e negativos	Um composto formado por átomos do mesmo elemento	3		27
Qual é o processo pelo qual uma substância líquida se transforma em vapor a uma temperatura abaixo do ponto de ebulição?	Condensação	Evaporação	Fusão	Solidificação	2		120
O que é um elemento químico?	Uma substância formada por dois ou mais elementos químicos diferentes	Uma substância pura que não pode ser decomposta em outras substâncias por processos químicos	Uma substância que tem um pH ácido	Uma substância formada por átomos do mesmo elemento	4		28
Qual é o nome da tabela que organiza os elementos químicos de acordo com suas propriedades e número atómico?	Tabela Periódica dos Elementos	Tabela de Reatividade Química	Tabela de Grupos Químicos	Tabela de Equilíbrio Iónico	1		108
O que é um ião?	Um átomo que ganhou ou perdeu electrões e, portanto, possui uma carga elétrica	Um átomo neutro	Um composto iónico	Um tipo de metal	1		15
Qual é o gás mais abundante na atmosfera da Terra?	Dióxido de carbono (CO2)	Nitrogénio (N2)	Oxigénio (O2)	Hidrogénio (H2)	2		50
Qual é o nome da reação química em que uma substância perde oxigénio?	Reação de Combustão	Reação de Redução	Reação de Síntese	Reação de Decomposição	2		69