Topic	Pergunta	hipotese_1	hipotese_2	hipotese_3	hipotese_4	respostaCerta		id	pergunta	respostaLLM0		id	pergunta	respostaLLM1
TECNOLOGIAS	O que é uma turbina eólica?	Um motor a vapor	Um dispositivo que gera eletricidade a partir do vento	Uma máquina de escavação	Um instrumento musical	2	TRUE	0	O que é uma turbina eólica?	3	TRUE	0	O que é uma turbina eólica?	2
TECNOLOGIAS	O que é a energia geotérmica?	Energia gerada a partir da queima de combustíveis fósseis	Energia proveniente do movimento das marés	Energia obtida a partir do calor da Terra	Energia gerada por ondas oceânicas	3	TRUE	1	O que é a energia geotérmica?	3	TRUE	1	O que é a energia geotérmica?	4
TECNOLOGIAS	O que é a nanotecnologia?	A tecnologia de construção de estradas	A tecnologia de manipulação de átomos e moléculas	A tecnologia de energia solar	A tecnologia de telecomunicações	2	TRUE	2	O que é a nanotecnologia?	2	TRUE	2	O que é a nanotecnologia?	3
TECNOLOGIAS	Qual é a fonte de energia renovável que utiliza o movimento da água para gerar eletricidade?	Energia solar	Energia geotérmica	Energia hidroelétrica	Energia eólica	3	TRUE	3	Qual é a fonte de energia renovável que utiliza o movimento da água para gerar eletricidade?	3	TRUE	3	Qual é a fonte de energia renovável que utiliza o movimento da água para gerar eletricidade?	3
TECNOLOGIAS	O que é a engenharia genética?	Um campo de estudo que se concentra na construção de estruturas metálicas	Um processo de modificação do DNA de organismos vivos	Um método de produção de alimentos inorgânicos	Um tipo de engenharia de software	2	TRUE	4	O que é a engenharia genética?	2	TRUE	4	O que é a engenharia genética?	3
TECNOLOGIAS	O que é a robótica?	Um tipo de impressão 3D	Um campo de estudo que se concentra na criação de máquinas autónomas programáveis	Um método de agricultura orgânica	Um tipo de tecnologia espacial	2	TRUE	5	O que é a robótica?	2	TRUE	5	O que é a robótica?	2
TECNOLOGIAS	Qual é o nome do processo de conversão de materiais usados em novos produtos?	Renovação	Reciclagem	Incineração	Reparação	2	TRUE	6	Qual é o nome do processo de conversão de materiais usados em novos produtos?	1	TRUE	6	Qual é o nome do processo de conversão de materiais usados em novos produtos?	2
TECNOLOGIAS	O que é um gerador de biomassa?	Um gerador eólico movido a energia biológica	Uma turbina geradora de massa bilógica	Um dispositivo para produção de eletricidade a partir de resíduos orgânicos	Uma máquina de lavar roupa que respeita as fibras biológicas	3	TRUE	7	O que é um gerador de biomassa?	3	TRUE	7	O que é um gerador de biomassa?	4
TECNOLOGIAS	Qual é o processo de conversão de resíduos orgânicos em material rico em nutrientes para o solo?	Compostagem	Reciclagem	Incineração	Armazenamento	1	TRUE	8	Qual é o processo de conversão de resíduos orgânicos em material rico em nutrientes para o solo?	1	TRUE	8	Qual é o processo de conversão de resíduos orgânicos em material rico em nutrientes para o solo?	2
TECNOLOGIAS	Qual é o nome da tecnologia que permite a criação de ambientes digitais tridimensionais inexistentes?	Realidade aumentada	Realidade virtual	Realidade mista	Realidade paralela	2	TRUE	9	Qual é o nome da tecnologia que permite a criação de ambientes digitais tridimensionais inexistentes?	2	TRUE	9	Qual é o nome da tecnologia que permite a criação de ambientes digitais tridimensionais inexistentes?	2
TECNOLOGIAS	Qual é o nome do processo de conversão de água salgada em água potável?	Desalinização	Destilação	Decantação	Filtragem	1	TRUE	10	Qual é o nome do processo de conversão de água salgada em água potável?	1	TRUE	10	Qual é o nome do processo de conversão de água salgada em água potável?	1
TECNOLOGIAS	Qual é o sistema operativo de código aberto mais amplamente utilizado no mundo?	Windows	macOS	Linux	Android	3	TRUE	11	Qual é o sistema operativo de código aberto mais amplamente utilizado no mundo?	3	TRUE	11	Qual é o sistema operativo de código aberto mais amplamente utilizado no mundo?	3
TECNOLOGIAS	Qual é o nome do processo de ocultar informações sensíveis dentro de outras informações, tornando-as ininteligíveis?	Compressão de dados	Criptografia	Descompressão	Compactação	2	TRUE	12	Qual é o nome do processo de ocultar informações sensíveis dentro de outras informações, tornando-as ininteligíveis?	3	TRUE	12	Qual é o nome do processo de ocultar informações sensíveis dentro de outras informações, tornando-as ininteligíveis?	2
TECNOLOGIAS	Quem é considerado o cofundador da Microsoft e um dos empresários mais ricos do mundo?	Elon Musk	Richard Branson	Bill Gates	Mark Zuckerberg	3	TRUE	13	Quem é considerado o cofundador da Microsoft e um dos empresários mais ricos do mundo?	3	TRUE	13	Quem é considerado o cofundador da Microsoft e um dos empresários mais ricos do mundo?	3
TECNOLOGIAS	O que é "cloud computing"?	Uma técnica de impressão 3D	Um método de armazenamento de dados em servidores remotos	Um tipo de linguagem de programação	Um sistema de segurança de rede	2	TRUE	14	O que é "cloud computing"?	2	TRUE	14	O que é "cloud computing"?	2
TECNOLOGIAS	Qual é a sigla para "Hypertext Markup Language," a linguagem de marcação usada para criar páginas da web?	XML	HTML	HTTP	URL	2	TRUE	15	Qual é a sigla para "Hypertext Markup Language," a linguagem de marcação usada para criar páginas da web?	3	TRUE	15	Qual é a sigla para "Hypertext Markup Language," a linguagem de marcação usada para criar páginas da web?	2
TECNOLOGIAS	Qual é o nome do fundador da SpaceX e da Tesla, conhecido por seus esforços na exploração espacial e veículos elétricos?	Richard Branson	Jeff Bezos	Elon Musk	Larry Page	3	TRUE	16	Qual é o nome do fundador da SpaceX e da Tesla, conhecido por seus esforços na exploração espacial e veículos elétricos?	3	TRUE	16	Qual é o nome do fundador da SpaceX e da Tesla, conhecido por seus esforços na exploração espacial e veículos elétricos?	3
TECNOLOGIAS	Qual é o nome do sistema de posicionamento global que permite a determinação de localização em qualquer lugar da Terra?	GPRS	Bluetooth	Wi-Fi	GPS	4	TRUE	17	Qual é o nome do sistema de posicionamento global que permite a determinação de localização em qualquer lugar da Terra?	4	TRUE	17	Qual é o nome do sistema de posicionamento global que permite a determinação de localização em qualquer lugar da Terra?	4
TECNOLOGIAS	Quem é conhecido como o "pai da eletricidade" e que inventou a lâmpada incandescente?	Isaac Newton	Nikola Tesla	Thomas Edison	James Clerk Maxwell	3	TRUE	18	Quem é conhecido como o "pai da eletricidade" e que inventou a lâmpada incandescente?	3	TRUE	18	Quem é conhecido como o "pai da eletricidade" e que inventou a lâmpada incandescente?	3
TECNOLOGIAS	Qual é o nome do sistema operativo desenvolvido pela Apple para seus computadores pessoais?	Linux	macOS	Windows	Android	2	TRUE	19	Qual é o nome do sistema operativo desenvolvido pela Apple para seus computadores pessoais?	2	TRUE	19	Qual é o nome do sistema operativo desenvolvido pela Apple para seus computadores pessoais?	2
TECNOLOGIAS	Qual é o protocolo de Internet amplamente usado para enviar e-mails?	FTP	HTTP	SMTP	DNS	3	TRUE	20	Qual é o protocolo de Internet amplamente usado para enviar e-mails?	4	TRUE	20	Qual é o protocolo de Internet amplamente usado para enviar e-mails?	3
TECNOLOGIAS	Qual é o nome da primeira missão tripulada que levou o homem à lua?	Apollo 1	Apollo 11	Apollo 13	Apollo 19	2	TRUE	21	Qual é o nome da primeira missão tripulada que levou o homem à lua?	3	TRUE	21	Qual é o nome da primeira missão tripulada que levou o homem à lua?	3
TECNOLOGIAS	Qual é o nome da linguagem de programação frequentemente usada para análise de dados e aprendizagem automática?	Python	C++	JavaScript	Ruby	1	TRUE	22	Qual é o nome da linguagem de programação frequentemente usada para análise de dados e aprendizagem automática?	3	TRUE	22	Qual é o nome da linguagem de programação frequentemente usada para análise de dados e aprendizagem automática?	3
TECNOLOGIAS	Qual é o nome da primeira rede social lançada em 2004 por Mark Zuckerberg?	Twitter	LinkedIn	Facebook	Instagram	3	TRUE	23	Qual é o nome da primeira rede social lançada em 2004 por Mark Zuckerberg?	3	TRUE	23	Qual é o nome da primeira rede social lançada em 2004 por Mark Zuckerberg?	3
TECNOLOGIAS	Quem é considerado o "pai da computação" e desenvolveu a máquina analítica no século XIX?	Alan Turing	John von Neumann	Charles Babbage	Tim Berners-Lee	3	TRUE	24	Quem é considerado o "pai da computação" e desenvolveu a máquina analítica no século XIX?	3	TRUE	24	Quem é considerado o "pai da computação" e desenvolveu a máquina analítica no século XIX?	3
TECNOLOGIAS	Qual cientista é conhecido por sua contribuição fundamental para o desenvolvimento da linguagem de programação Fortran?	Linus Torvalds	John Backus	Grace Hopper	Dennis Ritchie	2	TRUE	25	Qual cientista é conhecido por sua contribuição fundamental para o desenvolvimento da linguagem de programação Fortran?	3	TRUE	25	Qual cientista é conhecido por sua contribuição fundamental para o desenvolvimento da linguagem de programação Fortran?	3
TECNOLOGIAS	Quem projetou a primeira linguagem de programação de alto nível, chamada COBOL?	John Backus	Ada Lovelace	Grace Hopper	Dennis Ritchie	3	FALSE	26	Quem projetou a primera linguagem de programação de alto nível, chamada COBOL?	3	FALSE	26	Quem projetou a primera linguagem de programação de alto nível, chamada COBOL?	3
TECNOLOGIAS	Qual é a área da engenharia que se concentra em projetar sistemas de automação e controle industrial?	Engenharia Informática	Engenharia Mecatrónica	Engenharia Agrícola	Engenharia de Telecomunicações	2	TRUE	27	Qual é a área da engenharia que se concentra em projetar sistemas de automação e controle industrial?	3	TRUE	27	Qual é a área da engenharia que se concentra em projetar sistemas de automação e controle industrial?	3
TECNOLOGIAS	O que é a análise de elementos finitos na Engenharia Mecânica?	Uma técnica de construção de máquinas	Um método para estudar como interage um número limitado (finito) de peças mecânicas	Uma técnica de produção em massa	Um método para simular o comportamento de estruturas complexas	4	TRUE	28	O que é a análise de elementos finitos na Engenharia Mecânica?	4	TRUE	28	O que é a análise de elementos finitos na Engenharia Mecânica?	3
TECNOLOGIAS	Qual é a importância da lubrificação na operação e manutenção de equipamentos mecânicos?	Evitar a corrosão dos materiais	Reduzir o atrito e o desgaste de peças móveis	Melhorar as transferências térmicas	Melhorar o isolamento elétrico	2	TRUE	29	Qual é a importância da lubrificação na operação e manutenção de equipamentos mecânicos?	3	TRUE	29	Qual é a importância da lubrificação na operação e manutenção de equipamentos mecânicos?	3
TECNOLOGIAS	O que é um motor de combustão interna?	Um motor que transforma internamente eletricidade em energia mecânica	Um motor em que se queima lenha internamente para produzir vapor de água	Um motor de explosão que converte energia térmica em energia mecânica	Um motor em que existe uma chama interna que aquece uma caldeira	3	TRUE	30	O que é um motor de combustão interna?	4	TRUE	30	O que é um motor de combustão interna?	4
TECNOLOGIAS	O que é a manutenção preditiva na Engenharia Mecânica?	A manutenção que é feita após a falha de um equipamento	A manutenção que é feita regularmente, independentemente do estado do equipamento	A manutenção baseada em dados e monitorização para prevenir falhas	A manutenção que envolve a troca completa de equipamentos	3	TRUE	31	O que é a manutenção preditiva na Engenharia Mecânica?	3	TRUE	31	O que é a manutenção preditiva na Engenharia Mecânica?	3
CIÊNCIAS SOCIAIS E HUMANAS	Quem é considerado o fundador da psicanálise?	B.F. Skinner	Ivan Pavlov	Carl Rogers	Sigmund Freud	4	TRUE	32	Quem é considerado o fundador da psicanálise?	4	TRUE	32	Quem é considerado o fundador da psicanálise?	4
CIÊNCIAS SOCIAIS E HUMANAS	Qual é o estudo das formas de governo, políticas públicas e sistemas políticos?	Psicologia Política	Sociologia	Ciência Política	Antropologia Política	3	FALSE	33	Qual é o estudo das formas de gobierno, políticas públicas e sistemas políticos?	3	TRUE	33	Qual é o estudo das formas de governo, políticas públicas e sistemas políticos?	3
CIÊNCIAS SOCIAIS E HUMANAS	O que estuda a economia comportamental?	Tomada de Decisão Humana	Comportamento Animal	Economia Experimental	Psicologia do Consumidor	1	TRUE	34	O que estuda a economia comportamental?	3	TRUE	34	O que estuda a economia comportamental?	3
CIÊNCIAS SOCIAIS E HUMANAS	O que é a teoria do "contrato social" na filosofia política?	Um contrato entre governantes e governados	Um contrato entre países	Um contrato entre classes sociais	Um contrato entre religiões	1	TRUE	35	O que é a teoria do "contrato social" na filosofia política?	1	TRUE	35	O que é a teoria do "contrato social" na filosofia política?	1
CIÊNCIAS SOCIAIS E HUMANAS	Qual é o nome da corrente artística que enfatizou a expressão das emoções e das experiências humanas no final do século XIX?	Renascimento	Barroco	Romantismo	Realismo	3	TRUE	36	Qual é o nome da corrente artística que enfatizou a expressão das emoções e das experiências humanas no final do século XIX?	3	TRUE	36	Qual é o nome da corrente artística que enfatizou a expressão das emoções e das experiências humanas no final do século XIX?	3
CIÊNCIAS SOCIAIS E HUMANAS	Quem é o autor da obra "A Origem das Espécies", que apresentou a teoria da evolução por seleção natural?	Isaac Newton	Gregor Mendel	Albert Einstein	Charles Darwin	4	TRUE	37	Quem é o autor da obra "A Origem das Espécies", que apresentou a teoria da evolução por seleção natural?	4	TRUE	37	Quem é o autor da obra "A Origem das Espécies", que apresentou a teoria da evolução por seleção natural?	4
CIÊNCIAS SOCIAIS E HUMANAS	O que é a antropologia cultural?	O estudo das culturas antigas	O estudo das origens humanas	O estudo das sociedades humanas e suas culturas	O estudo da psicologia humana	3	TRUE	38	O que é a antropologia cultural?	3	TRUE	38	O que é a antropologia cultural?	3
CIÊNCIAS SOCIAIS E HUMANAS	Qual é a definição de "capitalismo"?	Um sistema económico onde os meios de produção são propriedade do Estado	Um sistema económico baseado na propriedade coletiva dos meios de produção	Um sistema económico onde os meios de produção são de propriedade privada e controlados pelo mercado	Um sistema económico baseado na troca de bens sem dinheiro	3	TRUE	39	Qual é a definição de "capitalismo"?	3	TRUE	39	Qual é a definição de "capitalismo"?	3
CIÊNCIAS SOCIAIS E HUMANAS	Quem é o autor da obra "O Segundo Sexo", que é um marco nos estudos feministas?	Virginia Woolf	Betty Friedan	Simone de Beauvoir	Gloria Steinem	3	TRUE	40	Quem é o autor da obra "O Segundo Sexo", que é um marco nos estudos feministas?	3	TRUE	40	Quem é o autor da obra "O Segundo Sexo", que é um marco nos estudos feministas?	3
CIÊNCIAS SOCIAIS E HUMANAS	Qual é o termo que se refere ao estudo das línguas e sua estrutura?	Semiótica	Idiomática	Filologia	Linguística	4	TRUE	41	Qual é o termo que se refere ao estudo das línguas e sua estrutura?	4	TRUE	41	Qual é o termo que se refere ao estudo das línguas e sua estrutura?	4
CIÊNCIAS SOCIAIS E HUMANAS	Qual é o nome do processo através do qual as normas culturais são transmitidas de geração em geração?	Socialização	Assimilação	Globalização	Revolução	1	TRUE	42	Qual é o nome do processo através do qual as normas culturais são transmitidas de geração em geração?	3	TRUE	42	Qual é o nome do processo através do qual as normas culturais são transmitidas de geração em geração?	3
CIÊNCIAS SOCIAIS E HUMANAS	Qual é o nome da corrente filosófica que enfatiza a importância da razão, lógica e argumentação crítica?	Empirismo	Racionalismo	Idealismo	Existencialismo	2	TRUE	43	Qual é o nome da corrente filosófica que enfatiza a importância da razão, lógica e argumentação crítica?	2	TRUE	43	Qual é o nome da corrente filosófica que enfatiza a importância da razão, lógica e argumentação crítica?	2
CIÊNCIAS SOCIAIS E HUMANAS	Quem é considerado o "pai da psicanálise"?	Carl Jung	Sigmund Freud	B.F. Skinner	Ivan Pavlov	2	TRUE	44	Quem é considerado o "pai da psicanálise"?	2	TRUE	44	Quem é considerado o "pai da psicanálise"?	2
CIÊNCIAS SOCIAIS E HUMANAS	Quem foi o líder do movimento pelos direitos civis nos Estados Unidos, conhecido por seu discurso "I Have a Dream"?	Malcolm X	Nelson Mandela	Martin Luther King Jr.	Barack Obama	3	TRUE	45	Quem foi o líder do movimento pelos direitos civis nos Estados Unidos, conhecido por seu discurso "I Have a Dream"?	3	TRUE	45	Quem foi o líder do movimento pelos direitos civis nos Estados Unidos, conhecido por seu discurso "I Have a Dream"?	3
CIÊNCIAS SOCIAIS E HUMANAS	Qual é o sistema económico caracterizado pela propriedade privada dos meios de produção?	Socialismo	Comunismo	Capitalismo	Fascismo	3	TRUE	46	Qual é o sistema económico caracterizado pela propriedade privada dos meios de produção?	3	TRUE	46	Qual é o sistema económico caracterizado pela propriedade privada dos meios de produção?	3
CIÊNCIAS SOCIAIS E HUMANAS	Quem é conhecido por suas experiências com o condicionamento clássico em cães?	Sigmund Freud	Ivan Pavlov	B.F. Skinner	Carl Jung	2	TRUE	47	Quem é conhecido por suas experiências com o condicionamento clássico em cães?	3	TRUE	47	Quem é conhecido por suas experiências com o condicionamento clássico em cães?	3
CIÊNCIAS SOCIAIS E HUMANAS	Qual é a forma mais comum de governo em que o poder é exercido por um único líder com autoridade absoluta?	Democracia	Monarquia	Anarquia	Oligarquia	2	TRUE	48	Qual é a forma mais comum de governo em que o poder é exercido por um único líder com autoridade absoluta?	4	TRUE	48	Qual é a forma mais comum de governo em que o poder é exercido por um único líder com autoridade absoluta?	4
CIÊNCIAS SOCIAIS E HUMANAS	Quem é considerado o "pai da filosofia política" e escreveu "A República", na qual discute a justiça, a política e a natureza do ser humano?	Platão	Aristóteles	Sócrates	Karl Marx	1	TRUE	49	Quem é considerado o "pai da filosofia política" e escreveu "A República", na qual discute a justiça, a política e a natureza do ser humano?	2	TRUE	49	Quem é considerado o "pai da filosofia política" e escreveu "A República", na qual discute a justiça, a política e a natureza do ser humano?	2
CIÊNCIAS SOCIAIS E HUMANAS	Qual é o nome do sistema de governo em que o poder é dividido entre um governo central e governos estaduais ou provinciais?	Monarquia absoluta	Federalismo	Teocracia	Ditadura	2	FALSE	50	Qual é o nome do sistema de gobierno em que o poder é dividido entre um governo central e governos estaduais ou provinciais?	1	FALSE	50	Monarquia absoluta	4
CIÊNCIAS SOCIAIS E HUMANAS	O que significa "estado de direito" em termos políticos?	Um estado onde a lei é aplicada de forma seletiva	Um estado onde os direitos dos cidadãos são protegidos pela lei	Um estado onde a lei não se aplica	Um estado onde não há leis	2	TRUE	51	O que significa "estado de direito" em termos políticos?	2	FALSE	51	Um estado where the law is applied in a selective manner	3
CIÊNCIAS SOCIAIS E HUMANAS	Qual é o nome do sistema de governo em que o poder é exercido por um pequeno grupo de pessoas?	Democracia	Oligarquia	Totalitarismo	Anarquia	2	TRUE	52	Qual é o nome do sistema de governo em que o poder é exercido por um pequeno grupo de pessoas?	3	FALSE	52	Oligarquia	3
CIÊNCIAS SOCIAIS E HUMANAS	Quem é considerado o fundador da filosofia política moderna e escreveu "O Príncipe", que discute estratégias de governo e liderança política?	Karl Marx	John Locke	Niccolò Machiavelli	Jean-Jacques Rousseau	3	TRUE	53	Quem é considerado o fundador da filosofia política moderna e escreveu "O Príncipe", que discute estratégias de governo e liderança política?	2	FALSE	53	Niccolò Machiavelli	2
CIÊNCIAS SOCIAIS E HUMANAS	Qual é o nome do sistema de governo em que o poder é exercido pelo povo, geralmente por meio de eleições?	Ditadura	Oligarquia	Democracia	Monarquia	3	TRUE	54	Qual é o nome do sistema de governo em que o poder é exercido pelo povo, geralmente por meio de eleições?	1	FALSE	54	Ditadura	3
CIÊNCIAS SOCIAIS E HUMANAS	O que é um "lobby" em termos de política?	Um grupo de legisladores	Um edifício do governo	Uma organização que influencia políticos em nome de interesses específicos	Um tipo de eleição	3	TRUE	55	O que é um "lobby" em termos de política?	3	FALSE	55	Uma organização that influences politicians on behalf of specific interests	3
CIÊNCIAS SOCIAIS E HUMANAS	Qual é o termo para um governo em que um partido ou indivíduo exerce controle total sobre todas as áreas da vida pública e privada?	Democracia	Federalismo	Totalitarismo	Anarquia	3	TRUE	56	Qual é o termo para um governo em que um partido ou indivíduo exerce controle total sobre todas as áreas da vida pública e privada?	4	FALSE	56	Totalitarismo	2
CIÊNCIAS SOCIAIS E HUMANAS	O que é um "golpe de Estado"?	Um processo democrático de eleição de líderes	Uma revolta popular pacífica	Uma ação ilegal para derrubar um governo e assumir o poder	Um acordo internacional de paz	3	TRUE	57	O que é um "golpe de Estado"?	4	FALSE	57	Uma ação illegal to overthrow a government and assume power	2
CIÊNCIAS SOCIAIS E HUMANAS	O que é a arqueologia?	O estudo das estrelas e planetas	O estudo das civilizações antigas por meio de suas ruínas e artefatos	A pesquisa de fósseis de dinossauros	O estudo da anatomia humana	2	TRUE	58	O que é a arqueologia?	2	FALSE	58	O estudo das civilizações antigas por meio de suas ruínas e artefatos	2
CIÊNCIAS SOCIAIS E HUMANAS	Qual é o nome da antiga cidade romana destruída pela erupção do Monte Vesúvio em 79 d.C.?	Atenas	Roma	Pompéia	Cartago	3	TRUE	59	Qual é o nome da antiga cidade romana destruída pela erupção do Monte Vesúvio em 79 d.C.?	3	FALSE	59	Pompéia	3
CIÊNCIAS SOCIAIS E HUMANAS	Qual é o nome do antigo sistema de escrita pictográfica usado pelos antigos egípcios?	Hieróglifos	Cuneiforme	Alfabeto grego	Runas	1	TRUE	60	Qual é o nome do antigo sistema de escrita pictográfica usado pelos antigos egípcios?	1	TRUE	60	Qual é o nome do antigo sistema de escrita pictográfica usado pelos antigos egípcios?	1
CIÊNCIAS SOCIAIS E HUMANAS	Qual é o nome da antiga cidade maia que é famosa por suas pirâmides e observatório astronómico?	Tikal	Chichén Itzá	Machu Picchu	Teotihuacán	2	FALSE	61	Qual é o nome da antiga cidade maia que é famosa por suas pirâmides e observatório astronômico?	2	FALSE	61	Qual é o nome da antiga cidade maia que é famosa por suas pirâmides e observatório astronômico?	2
CIÊNCIAS SOCIAIS E HUMANAS	O que os arqueólogos chamam de "datação por carbono-14"?	Um método para medir as emissões de carbono na antiguidade	Um método para determinar a idade de artefatos e fósseis orgânicos	Um método para medir a idade das pirâmides egípcias	Um método para calcular a idade das estrelas	2	TRUE	62	O que os arqueólogos chamam de "datação por carbono-14"?	2	TRUE	62	O que os arqueólogos chamam de "datação por carbono-14"?	2
ARQUITETURA	Quem é o arquiteto responsável pelo projeto do Museu Guggenheim em Bilbao, Espanha?	Frank Lloyd Wright	Zaha Hadid	Rem Koolhaas	Frank Gehry	4	TRUE	63	Quem é o arquiteto responsável pelo projeto do Museu Guggenheim em Bilbao, Espanha?	3	TRUE	63	Quem é o arquiteto responsável pelo projeto do Museu Guggenheim em Bilbao, Espanha?	3
ARQUITETURA	Qual é o estilo arquitetónico conhecido por suas linhas curvas, inspiradas na natureza, e é exemplificado na Casa Batlló e no Parque Güell em Barcelona?	Gótico	Barroco	Art Nouveau	Rococó	3	TRUE	64	Qual é o estilo arquitetónico conhecido por suas linhas curvas, inspiradas na natureza, e é exemplificado na Casa Batlló e no Parque Güell em Barcelona?	3	TRUE	64	Qual é o estilo arquitetónico conhecido por suas linhas curvas, inspiradas na natureza, e é exemplificado na Casa Batlló e no Parque Güell em Barcelona?	3
ARQUITETURA	Qual é o nome do famoso arquiteto norte-americano que projetou a conhecida Casa da Cascata (Fallingwater)?	Louis Sullivan	Mies van der Rohe	Frank Lloyd Wright	Philip Johnson	3	TRUE	65	Qual é o nome do famoso arquiteto norte-americano que projetou a conhecida Casa da Cascata (Fallingwater)?	3	TRUE	65	Qual é o nome do famoso arquiteto norte-americano que projetou a conhecida Casa da Cascata (Fallingwater)?	3
ARQUITETURA	O que é um edifício patrimonial?	Um edifício para guardar o património dos depositantes (o mesmo que banco)	Um edifício que envolveu um grande investimento	Um edifício histórico de valor cultural, histórico ou arquitetónico	Um edifício adquirido para fins de especulação imobiliária	3	TRUE	66	O que é um edifício patrimonial?	4	TRUE	66	O que é um edifício patrimonial?	1
